city_state,name,m_type,state_abrev,state_full
"Grantville city, Georgia",Grantville,city,GA,Georgia
"Gray city, Georgia",Gray,city,GA,Georgia
"Grayson city, Georgia",Grayson,city,GA,Georgia
"Greensboro city, Georgia",Greensboro,city,GA,Georgia
"Greenville city, Georgia",Greenville,city,GA,Georgia
"Griffin city, Georgia",Griffin,city,GA,Georgia
"Grovetown city, Georgia",Grovetown,city,GA,Georgia
"Gumbranch city, Georgia",Gumbranch,city,GA,Georgia
"Guyton city, Georgia",Guyton,city,GA,Georgia
"Hagan city, Georgia",Hagan,city,GA,Georgia
"Hahira city, Georgia",Hahira,city,GA,Georgia
"Hamilton city, Georgia",Hamilton,city,GA,Georgia
"Hampton city, Georgia",Hampton,city,GA,Georgia
"Hapeville city, Georgia",Hapeville,city,GA,Georgia
"Haralson town, Georgia",Haralson,town,GA,Georgia
"Harlem city, Georgia",Harlem,city,GA,Georgia
"Harrison town, Georgia",Harrison,town,GA,Georgia
"Hartwell city, Georgia",Hartwell,city,GA,Georgia
"Hawkinsville city, Georgia",Hawkinsville,city,GA,Georgia
"Hazlehurst city, Georgia",Hazlehurst,city,GA,Georgia
"Helen city, Georgia",Helen,city,GA,Georgia
"Hephzibah city, Georgia",Hephzibah,city,GA,Georgia
"Hiawassee city, Georgia",Hiawassee,city,GA,Georgia
"Higgston town, Georgia",Higgston,town,GA,Georgia
"Hiltonia town, Georgia",Hiltonia,town,GA,Georgia
"Hinesville city, Georgia",Hinesville,city,GA,Georgia
"Hiram city, Georgia",Hiram,city,GA,Georgia
"Hoboken city, Georgia",Hoboken,city,GA,Georgia
"Hogansville city, Georgia",Hogansville,city,GA,Georgia
"Holly Springs city, Georgia",Holly Springs,city,GA,Georgia
"Homeland city, Georgia",Homeland,city,GA,Georgia
"Homer town, Georgia",Homer,town,GA,Georgia
"Homerville city, Georgia",Homerville,city,GA,Georgia
"Hoschton city, Georgia",Hoschton,city,GA,Georgia
"Hull city, Georgia",Hull,city,GA,Georgia
"Ideal city, Georgia",Ideal,city,GA,Georgia
"Ila city, Georgia",Ila,city,GA,Georgia
"Iron City town, Georgia",Iron City,city,GA,Georgia
"Irwinton city, Georgia",Irwinton,city,GA,Georgia
